"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue 1","dataValue 2","dataYear","dataNote","dataSource","seriesDescription","dataValue 3","dataValue 4","dataValue"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,43,"BRN","Brunei Darussalam",,,2015,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,43,"BRN","Brunei Darussalam",,,2016,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,43,"BRN","Brunei Darussalam",,,2017,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,43,"BRN","Brunei Darussalam","Fibre","Satellite",2018,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,43,"BRN","Brunei Darussalam","Satellite","Submarine cable",2019,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,43,"BRN","Brunei Darussalam","Satellite","Submarine cable",2020,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,43,"BRN","Brunei Darussalam","Satellite","Submarine cable",2021,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,43,"BRN","Brunei Darussalam","Satellite","Submarine cable",2022,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,43,"BRN","Brunei Darussalam","Satellite","Submarine cable",2023,"For clarifications, there are four (4) submarine cables connecting Brunei:AAG - Asia America Gateway cableSJC - South East Asia Japan CableSMW3 - South East Asia Middle-East West Europe 3 cableLBC - Labuan Brunei Cable.These 4 submarine cable systems are landed in two cable landing stations in Brunei, namely the Tungku Submarine Cable Station and the Telisai Submarine Cable Station.","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,43,"BRN","Brunei Darussalam","Submarine cable","Satellite",2024,"For clarifications, there are four (4) submarine cables connecting Brunei: AAG - Asia America Gateway cable SJC - South East Asia Japan Cable SMW3 - South East Asia Middle-East West Europe 3 cable LBC - Labuan Brunei Cable. These 4 submarine cable systems are landed in two cable landing stations in Brunei, namely the Tungku Submarine Cable Station and the Telisai Submarine Cable Station.","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,45,"BGR","Bulgaria",,,2016,"","","International landing points",,,"Other"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,47,"CAN","Canada",,,2015,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,47,"CAN","Canada",,,2016,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,47,"CAN","Canada",,,2017,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,48,"KHM","Cambodia","Fibre","Satellite",2015,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,48,"KHM","Cambodia","Fibre","Submarine cable",2016,"","","International landing points","Satellite",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,48,"KHM","Cambodia","Fibre","Satellite",2017,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,48,"KHM","Cambodia","Submarine cable","Satellite",2018,"","","International landing points","Fibre",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,48,"KHM","Cambodia","Submarine cable","Satellite",2019,"","","International landing points","Fibre",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,48,"KHM","Cambodia","Fibre","Submarine cable",2020,"Satellite facility was previously operated by the sate own enterprise, Telecom Cambodia. Now it has been shutdown.","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,48,"KHM","Cambodia","Submarine cable","Fibre",2021,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,48,"KHM","Cambodia","Submarine cable","Fibre",2022,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,48,"KHM","Cambodia","Fibre","Submarine cable",2023,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,48,"KHM","Cambodia","Fibre","Submarine cable",2024,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,49,"CHL","Chile",,,2019,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,49,"CHL","Chile","Submarine cable","Fibre",2020,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,49,"CHL","Chile","Fibre","Submarine cable",2021,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,49,"CHL","Chile","Fibre","Submarine cable",2022,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,49,"CHL","Chile","Fibre","Submarine cable",2023,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,49,"CHL","Chile","Fibre","Submarine cable",2024,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,50,"CHN","China","Fibre","Submarine cable",2015,"","","International landing points","Satellite",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,50,"CHN","China","Fibre","Satellite",2016,"","","International landing points","Submarine cable",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,50,"CHN","China","Satellite","Submarine cable",2017,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,50,"CHN","China","Fibre","Submarine cable",2021,"","","International landing points","Satellite",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,50,"CHN","China","Fibre","Submarine cable",2022,"","","International landing points","Satellite",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,50,"CHN","China","Fibre","Submarine cable",2023,"","","International landing points","Satellite",,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,53,"COL","Colombia",,,2015,"","","International landing points",,,"Submarine cable"
20631,"tpInternetConn_NumberLandingStations","International landing points",,,53,"COL","Colombia","Submarine cable","Satellite",2016,"","","International landing points",,,
20631,"tpInternetConn_NumberLandingStations","International landing points",,,53,"COL","Colombia","Satellite","Submarine cable",2017,"","","International landing points",,,
