"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5","dataValue 6","dataValue 7","dataValue 8","dataValue 9","dataValue 10"
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,27,"BRA","Brazil",,2015,"","","","Universal service funds","Other",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,27,"BRA","Brazil",,2016,"","","","Universal service funds","Other",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,27,"BRA","Brazil",,2017,"","","","Other","Universal service funds",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,27,"BRA","Brazil",,2018,"","","","Universal service funds","Other",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,27,"BRA","Brazil",,2019,"","","","Universal service funds","Other",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,27,"BRA","Brazil",,2020,"","","","Universal service funds","Other",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,27,"BRA","Brazil",,2021,"","","","Universal service funds","Other",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,27,"BRA","Brazil",,2022,"","","","Universal service funds","Other",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,27,"BRA","Brazil",,2024,"","","","Universal service funds","Other",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,28,"BHS","Bahamas","Universal service funds",2001,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,28,"BHS","Bahamas","Universal service funds",2002,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,28,"BHS","Bahamas","Cross-subsidy between own services (internal financing)",2004,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,28,"BHS","Bahamas",,2005,"","","","Universal service funds","Cross-subsidy between own services (internal financing)",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,28,"BHS","Bahamas","Cross-subsidy between own services (internal financing)",2010,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,28,"BHS","Bahamas","Cross-subsidy between own services (internal financing)",2011,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,28,"BHS","Bahamas","Cross-subsidy between own services (internal financing)",2012,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,28,"BHS","Bahamas",,2013,"","","","Universal service funds","Cross-subsidy between own services (internal financing)",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,28,"BHS","Bahamas",,2014,"","","","Universal service funds","Cross-subsidy between own services (internal financing)",,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,28,"BHS","Bahamas","Cross-subsidy between own services (internal financing)",2016,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,28,"BHS","Bahamas","Cross-subsidy between own services (internal financing)",2017,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,28,"BHS","Bahamas","Cross-subsidy between own services (internal financing)",2018,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,28,"BHS","Bahamas","Cross-subsidy between own services (internal financing)",2019,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,28,"BHS","Bahamas","Cross-subsidy between own services (internal financing)",2020,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,28,"BHS","Bahamas","Cross-subsidy between own services (internal financing)",2021,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,28,"BHS","Bahamas","Cross-subsidy between own services (internal financing)",2022,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,28,"BHS","Bahamas","Other",2024,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,29,"BDI","Burundi",,2011,"","","","Direct subsidy from government","Cross-subsidy between own services (internal financing)","Access interconnection charges",,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,29,"BDI","Burundi","Other",2016,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,29,"BDI","Burundi","Universal service funds",2018,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,29,"BDI","Burundi","Universal service funds",2019,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,29,"BDI","Burundi","Universal service funds",2020,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,29,"BDI","Burundi","Universal service funds",2021,"","","",,,,,,,,,,
2803,"trUS_Financing","Means of financing operator’s UAS obligations",,,29,"BDI","Burundi","Universal service funds",2022,"","","",,,,,,,,,,
